Number,Label,Pertanyaan
1,low_order,Jika program di atas dijalankan maka akan menghasilkan keluaran?
2,low_order,Apa itu module dan package pada python?
3,low_order,Apa itu tipe data primitif?
4,low_order,Berikut cara menampilkan seluruh data pada array! Buatkan pseudocodenya!
5,low_order,"Berikut merupakan  pseudocode dari membuat metode push dengan parameter bertipe data int, Increment variabel top, Memasukkan data dari parameter ke dalam array dengan Index paling atas."
6,high_order,Tuliskan hasil yang dikembalikan oleh metode misetery untuk kondisi berikut ini;
7,low_order,Apa kepanjangan dari SQL?
8,low_order,Berikan 5 manfaat menggunakan python!
9,low_order,Apa tipe bawaan yang disediakan python?
10,high_order,Bagaimana anda menyalin objek dengan python?
11,low_order,Kenapa bentuk lamda dalam python tidak memiliki pernyataan?
12,high_order,"Dengan SQL, bagaimana Anda memilih kolom  ""NamaDepan"" dari tabel  ""Orang""?"
13,high_order,Bagaimana mengonversi angka menjadi string?
14,high_order,Jelaskan bagaimana mendapatkan angka acak pada python?
15,high_order,"Dengan SQL, bagaimana Anda memilih semua catatan dari tabel ""Orang"" di mana nilai kolom ""NamaDepan"" dimulai dengan ""a""?"
16,low_order,OR digunakan untuk menampilkan catatan jika kondisi ANY digunakan untuk mencantumkan yang benar. AND menampilkan catatan dan jika ALL kondisi yang tercantum adalah benar. Pernyataan berikut benar atau salah?
17,low_order,Apa itu index negatif pada python?
18,low_order,Sebutkan penggunaan fungsi split dalam Python?
19,low_order,Pernyataan SQL mana yang digunakan untuk mengembalikan hanya nilai yang berbeda?
20,low_order,Kata kunci SQL apa yang digunakan untuk mengurutkan hasil-set?
21,high_order,Jelaskan apa itu efek Dogpile? Bagaimana cara untuk mencegah efek ini?
22,low_order,Tulis program Python untuk menghapus layar atau terminal pada python
23,low_order,Tulis program Python untuk menghapus item pertama dari daftar yang ditentukan!
24,high_order,"Bagaimana Anda bisa mengubah ""Hansen"" menjadi ""Nilsen"" di kolom ""NamaBelakang"" di tabel Orang?"
25,high_order,"Dengan SQL, bagaimana Anda bisa menghapus catatan di mana ""NamaDepan"" adalah ""Peter"" di Tabel Orang?"
26,high_order,"Dengan SQL, bagaimana Anda bisa mengembalikan jumlah catatan di tabel ""Orang""?"
27,high_order,"Buatlah program lengkap yang dapat menampung nilai yang dimasukkan pengguna. Selanjutnya, program akan memerisa kondisi pertama (x > 0). jika x lebih besar dari nol maka program akan mengeksekusi statemen pertama yaitu bagian if. Jika x tidak lebih besar dari nol, maka program akan eksekusi dengan memeriksa kondisi kedua (x == 0). Jika x bernilai nol maka program akan mengeksekusi statemen bagian elif. Jika x tidak sama dengan nol, maka statemen yang akan dieksekusi adalah statemen yang terdapat di bagian else. "
28,low_order,Yang mana yang digunakan untuk memilih nilai dalam suatu rentang?
29,high_order,"Buatlah program lengkap untuk menentukan pendapatan maksimum penjual kue jika ia mempunya 8kg tepung dan 2kg pasir dan ingin membuat 2 buah kue dadar dan kue apem.  Bahan yang digunakan untuk membuat kue dadar yaitu: 10 gram gula pasir dan 20 gram tepung, sedangkan kue apem membutuhkan 5gr gula pasir dan 50gr tepung. Kue dadar yang dia jual seharga Rp. 300/buah dan kue apem seharga Rp. 500/buah."
30,high_order,Buatlah program lengkap dengan python untuk mengirim email dengan lampiran
31,low_order,Pernyataan SQL mana yang digunakan untuk membuat tabel dalam data Base?
32,low_order,Panjang array dapat dihitung dengan cara 
33,low_order,"Berikut yang menggunakan tipe data referen adalah, kecuali"
34,high_order,"Bagaimana menentukan bilangan bulat, long dan float dari yang terbesar dan terkecil?"
35,high_order,Bagaimana menjumlahkan angka dalam list?
36,low_order,Pendeklarasian array yang benar di bawah ini adalah
37,low_order,Tujuan penggunaan dari array adalah 
38,low_order,"Dalam mengakses setiap elemen yang terdapat dalam array dapat menggunakan, kecuali "
39,low_order,Nama metode yang sesuai untuk fungsi kode program berikut adalah 
40,high_order,Proses yang ditangani array ketika bekerja dengan sebuah struktur data antara lain adalah 
41,low_order,Gambar di atas adalah ilustrasi dari metode
42,low_order,apakah output dari program di atas
43,low_order,Apakah yang dimaksud dengan linked list
44,low_order,Jika kita menambahkan link baru di depan pada sebuah linked list maka
45,low_order,Metode diatas dapat digunakan untuk mengecek
46,high_order,Bagaimana cara yang benar untuk menulis alamat dalam dokumen HTML?
47,high_order,Bagaimana cara mendefinisikan keterangan tabel?
48,high_order,Bagaimana cara menentukan daftar opsi yang telah ditentukan untuk kontrol input?
49,high_order,Bagaimana cara menentukan bagian dalam dokumen?
50,low_order,Penggunaan Class node dalam linked list adalah
51,low_order,Sebutkan kepanjangan dari LIFO
52,high_order,Tuliskan program python yang digunakan untuk memasukkan dua bilangan bulat dalam satu baris.
53,high_order,Bagaimana cara untuk mengubah desimal menjadi heksadesimal?
54,low_order,Manakah metode yang digunakan untuk memasukkan data ke dalam sebuah stack
55,high_order,Tuliskan program python yang digunakan untuk memeriksa apakah variabel bilangan bulat atau string
56,high_order,"Anda memiliki urutan angka, tentukan cara untuk mengurutkan angka dari minimum sampai maksimum"
57,low_order,Berikut ini adalah ciri-ciri dari Priority Queue
58,low_order,Program di atas akan mengeluarkan output
59,low_order,"Berikut ini adalah potongan dari program priority queue. Jika prioritas tertinggi adalah untuk elemen yang memiliki nilai paling besar, maka output yang benar adalah"
60,low_order,"Berikut yang menggunakan tipe data reference adalah, Kecuali"
61,low_order,Gambar di atas adalah ilustrasi dari metode
62,low_order,Jelaskan apa yang dilakukan oleh methodA dan methodB di atas serta perbedaannya
63,high_order,Tuliskan urutan hasil yang dikeluarkan apabila metode dijalankan dan ditampilkan dari indeks ke 0 sampai elemen terakhir array secara berurut:
64,low_order,apa perbedaan linear search dengan binary search. Jelaskan
65,low_order,"mengapa proses Insert data pada array terurut lebih lambat jika dibandingkan pada array tidak terurut sedangkan sebaliknya, proses pencarian pada array terurut lebih cepat jika dibandingkan dengan array tidak terurut?"
66,low_order,"Apa perbedaan stack, queue dan priority queue. Jelaskan "
67,low_order,Jelaskan masing-masing metode di atas (insertA dan insertB) merupakan milik struktur data yang mana? Jelaskan Perbedaannya!
68,low_order,Gambarkan proses menambahkan elemen temp pada kedua metode diatas pada struktur datanya masing-masing.
69,high_order,Bagaimana cara mendefinisikan item daftar?
70,high_order,bagaimana memperbaiki program tersebut agar yang dihapus adalah link yang pertama dari link list?
71,high_order,Tuliskan output dari program tersebut?
72,high_order,"Buatlah UNF dari gambar fraktur pembelian pelanggan dari sebuah toko elektronik anti curang di mana terekam tanggal, info produk yang dibeli, data pelanggan, dan data pramuniaga yang melayani di dalam fraktur tersebut."
73,high_order,"Buatlah Normalisasi sampai dengan bentuk 3NF dari gambar fraktur pembelian pelanggan dari sebuah toko elektronik anti curang di mana terekam tanggal, info produk yang dibeli, data pelanggan, dan data pramuniaga yang melayani di dalam fraktur tersebut. Dan berikan penjelasan untuk langkah-langkah konversi dari fraktur menjadi bentuk UNF sampai 3NF"
74,high_order,Buatlah  program dalam Python untuk menghitung jumlah semua kelipatan 3 atau 5 di bawah 500
75,high_order,Buatlah program python untuk menemukan perbedaan antara jumlah kuadrat dari dua ratus bilangan pertama dan kuadrat dari jumlah tersebut.
76,high_order,"Buatlah program dalam Python di mana Anda mengambil bilangan bulat positif n, jika n genap, bagilah dengan 2 untuk mendapatkan n / 2. Jika n ganjil, maka menggandakan dengan 3 dan tambahkan 1 untuk mendapatkan 3n + 1. Ulangi proses sampai Anda mencapai 1"
77,low_order,Carilah definisi dan contoh yang tepat untuk masing-masing keyword.
78,low_order,Keyword yang digunakan untuk membuat nilai tetap dan tidak dapat berubah adalah
79,low_order,dari statement berikut ini manakah baris pertanyaan yang tidak valid
80,low_order,jika nilai variabel c ditampilkan ke layar akan menghasilkan nilai  
81,low_order,Metode yang digunakan untuk membandingkan dua buah data string adalah
82,high_order,"Buatlah program lengkap untuk iterasi bilangan bulat dari 1 hingga 50. Untuk kelipatan tiga cetak ""Fizz"" bukan nomor dan untuk kelipatan lima cetak ""Buzz"". Untuk angka yang merupakan kelipatan dari tiga dan lima cetak ""FizzBuzz""."
83,low_order,jika baris ke-4 pada program diatas diubah menjadi -x+2*x*++x; maka akan menghasilkan keluaran 
84,low_order,"suatu metode yang dapat dijalankan otomatis pada saat object dari class dibuat, dikenal dengan"
85,high_order,"Tuliskan perintah untuk menjumlahkan dua bilangan bulat yang diberikan. Namun, jika jumlahnya antara 15 hingga 20 akan menghasilkan 20"
86,high_order,"Buatlah program untuk mengetahui sebuah segitiga sama sisi, sama kaki atau sama sisi."
87,high_order,Tuliskan code program Python untuk menemukan bilangan prima ke-1000.
88,high_order,Tuliskan perintah untuk mendapatkan string yang terbuat dari tiga karakter pertamanya dari string yang ditentukan. Jika panjang string kurang dari 3 maka kembalikan string asli.
89,low_order,cara pemanggil konstruktor superclass adalah subclass yang benar adalah
90,high_order,Tuliskan code program Python untuk menemukan angka segitiga pertama yang memiliki lebih dari n (diberikan) pembagi
91,high_order,"Tuliskan code program Python untuk menemukan nomor awal, di bawah sepuluh ribu akan membuat rantai terpanjang"
92,high_order,Tuliskan code program Python untuk menemukan indeks istilah pertama dalam deret Fibonacci yang berisi 500 digit.
93,high_order,"Buatlah tabel Pivot dan temukan tingkat kelangsungan hidup berdasarkan jenis kelamin, usia berbagai kategori dari berbagai kelas. Tambahkan tarif sebagai dimensi kolom dan kolom tarif partisi ke dalam 2 kategori berdasarkan nilai yang ada di kolom tarif"
94,high_order,"Buatlah tabel Pivot dan temukan kemungkinan bertahan hidup berdasarkan kelas, jenis kelamin, naik pesawat sendiri, dan pelabuhan keberangkatan."
95,high_order,Tuliskan code program Pandas untuk menggunakan data excel (employee.xlsx) ke dalam kerangka data Pandas dan temukan daftar karyawan tempat menyewa_tanggal antara dua bulan dan tahun tertentu.
96,high_order,Tuliskan perintah untuk menghitung jumlah bilangan genap dan ganjil dari serangkaian angka.
97,high_order,Tuliskan perintah untuk mencetak semua angka dari 0 hingga 6 kecuali 3 dan 6.
98,low_order,Buat program python untuk memeriksa validitas input kata sandi oleh pengguna.
99,high_order,"Buatlah program lengkap untuk membuat mainan yang digunakan untuk meramal atau mencari sara. Dalam program tersebut dapat mengizinkan pengguna untuk memasukkan pertanyaan mereka, menampilkan pesan yang sedang dalam proses, membuat 10/20 tanggapan, dan menampilkannya secara acak, mengizinkan pengguna untuk mengajukan pertanyaan/saran lain, dan keluar dari game."
100,high_order,"Buatlah program lengkap yang digunakan untuk menulis setiap baris lagu ""99 bottles of beer on the wall"". "
101,high_order,Buatlah program lengkap untuk menebak angka yang dipilih secara acak.
102,high_order,"membuat dan menampilkan seri boolean, di mana Benar untuk tidak nol dan Salah untuk nilai nol atau nilai yang hilang di kolom state_province file lokasi"
103,high_order,Tuliskan perintah untuk menemukan angka antara 100 dan 400 (keduanya termasuk) di mana setiap digit angka adalah angka genap. Angka-angka yang diperoleh harus dicetak dalam urutan yang dipisahkan koma
104,high_order,Buatlah program lengkap untuk menghitung usia anjing dalam tahun anjing.
105,high_order,Tuliskan code program python untuk memeriksa apakah alfabet adalah vokal atau konsonan
106,high_order,"Tuliskan code program python untuk menampilkan nama depan, nama belakang, gaji, dan nomor departemen untuk karyawan yang nama depannya diakhiri dengan huruf 'm'"
107,high_order,"Buatlah program untuk menampilkan nama depan, nama belakang, gaji dan nomor departemen untuk karyawan yang nama depannya diakhiri dengan huruf 'd' atau 'n' atau 's' dan juga mengatur hasilnya dalam urutan menurun dengan nomor departemen"
108,high_order,"Tuliskan perintah untuk menghitung jumlah dua bilangan bulat yang diberikan. Namun, jika jumlahnya antara 15 hingga 20 akan menghasilkan 20."
109,high_order,Bagaimana cara menghapus beberapa spasi dalam sebuah string
110,high_order,Anda memiliki dua dataset dengan pemetaan banyak ke satu. Anda mencoba untuk menggabungkan kedua dataset menggunakan pernyataan Penggabungan Data (setelah mengurutkan pada kunci). Tuliskan outputnya
111,low_order,Apa perbedaan antara: impor sklearn dan from sklearn import datasets
112,low_order,Manakah dari berikut ini yang bukan struktur data yang valid dalam Python?
113,low_order,Manakah dari library berikut yang merupakan kombinasi penggunaannya salah?
114,low_order,Manakah dari teknik statistik berikut ini yang tidak dapat diimplementasikan pada R?
115,low_order,Sebutkan perintah-perintah yang terdapat pada algoritma Python
116,low_order,Apa itu proses dari data science?
117,low_order,Apa saja fitur utama dari Python?
118,low_order,"Perintah SQL untuk menampilkan nama_proyek, nama_resource dan annual_salary yang paling tepat adalah:"
119,high_order,Tuliskan macam-macam modul yang ada di python
120,low_order,Apa itu tipe konversi dalam python
121,high_order,Bagaimana Anda menulis komentar dengan python?
122,high_order,Bagaimana Anda menggunakan huruf besar dari string pertama?
123,high_order,Bagaimana cara mengomentari banyak baris dengan python?
124,high_order,Bagaimana cara menghapus file dengan Python?
125,high_order,Tuliskan program untuk menemukan jumlah pembagi bilangan bulat yang diberikan adalah genap atau ganjil
126,high_order,Bagaimana menghitung panjang string?
127,high_order,Bagaimana menghapus line baru pada python?
128,high_order,Bagaimana memeriksa apakah string dimulai dengan karakter yang spesial atau tidak
129,low_order,"terdapat dari mana pengubah akses berarti sebuah field dapat diakses dalam class yang sama, Class dalam package dan sublass yang sama dalam aplikasi kalian?"
130,low_order,field mana yang tidak dapat diganti setelah objek telah disusun?
131,low_order,Teknik apa di Java di mana class terdapat nomor apa pun dari metode yang berbeda dalam daftar parameter?
132,high_order,Tuliskan perintah untuk membaca angka positif terkecil yang dapat habis dibagi semua angka dari 1 hingga 30
133,low_order,objek real-word berisi tentang?
134,low_order,Buatlah flowchart dari program diatas?
135,high_order,Tuliskan perintah untuk mendapatkan dua bilangan bulat yang mewakili bulan dan hari dan mencetak musim untuk bulan dan hari itu.
136,high_order,Buatlah program lengkap untuk menghitung perkalian dari sebuah angka
137,low_order,Jelaskan apa yang dilakukan oleh pihak blok program beliau?
138,high_order,"Tuliskan program yang dapat menambahkan 'ing' di akhir string yang diberikan (panjangnya harus minimal 3). Jika string yang diberikan sudah berakhir dengan 'ing' maka tambahkan 'ly' sebagai gantinya. Jika panjang string dari string yang diberikan kurang dari 3, biarkan tidak berubah"
139,high_order,"Tuliskan perintah untuk membangun pola segitiga, menggunakan nomor loop bersarang."
140,high_order,"identifikasi 8 baris kesalahan (BUKAN 8 kesalahan) yang ada pada kodingan tebak angka di bawah ini. Caranya, tulis ulang baris yang salah dan tulis ulang pembetulannya."
141,high_order,Buatlah program lengkap untuk menghitung Magic Square 
142,high_order,"Buatkan diagram class untuk menggambarkan relasi dari sebuah sistem informasi akademik yang terdapat dosen dan mata kuliah, di mana setiap dosen dapat  mengajar lebih dari satu mata kuliah dan setiap mata kuliah hanya dipegang oleh satu orang dosen."
143,low_order,Buat program dalam bahasa pemrograman Java yang mengimplementasikan diagram class di mana output program yang diharapkan adalah  muncul tulisan pada layar monitor sebagai berikut.
144,low_order,"Lengkapilah metode ""cocok di bawah ini yang memiliki parameter berupa array integer. Metode ini mengembalikan nilai boolean true jika jumlah elemen array nya minimal 1 dan nilai dari elemen pertamanya sama dengan elemen terakhirnya"
145,low_order,Jelaskan apa yang dilakukan oleh metode misteri diatas!
146,high_order,Tuliskan hasil yang dikembalikan metode misteri di atas untuk kondisi-kondisi berikut:
147,high_order,"Soal berikut adalah untuk struktur data array terurut. Apabila diketahui pengurutan array terdapat pada fungsi Insert sebagai berikut, Bagaimana hasil tampilan aplikasi apabila bilangan disisipkan dengan urutan 5,2,1,7,4?"
148,high_order,Bagaimana cara mengembalikan urutan tampilan dengan mengubah metode Insert di atas?
149,low_order,"apabila diketahui fungsi pencarian sebelumnya adalah menggunakan binary search sebagai berikut, bagian mana yang harus diubah untuk menyesuaikan dengan perubahan urutan array pada soal b?"
150,low_order,"terdapat dari mana pengubah akses berarti sebuah field dapat diakses dalam class yang sama, Class dalam package dan sublass yang sama dalam aplikasi kalian?"
151,low_order,"Jika diketahui program sebagai berikut, maka tempatkan referensi A, B, X dan Y pada kotak-kotak yang disediakan apabila metode insert di atas diinginkan untuk memasukkan data baru di awal list (Insert first)!"
152,high_order,Tuliskan perintah untuk mengambil daftar kata dan mengembalikan panjang kata yang terpanjang
153,low_order,"Fungsi di bawah ini merupakan fungsi protokol HTTP, kecuali:"
154,low_order,"Pada TCP/IP, http protokol berada pada lapisan"
155,high_order,Buatlah program lengkap yang dapat menentukan nilai palindrome sebelumnya dan nilai palindrome terkecil berikutnya dari yang dimasukkan oleh pengguna
156,high_order,Bagaimana mengimport modul dalam python?
